news_0001_0001 备受瞩目的高考又快要到了，来自教育部的数据显示。
news_0001_0002 二零一八年全国高考报考人数呢达到了九百七十五万人，比去年增加了三十五万人。
news_0001_0003 而为了确保二零一八年高考安全顺利的完成。
news_0001_0004 今日全国不少地方相继出台措施，要整肃考风考纪，严防考试作弊，确保考试公平和公正。
news_0001_0005 比如说吉林省，无线电监测设备实现了全覆盖。
news_0001_0006 如果检测到可疑的信号，工作人员就会携带便携式监测设备，前往排查。
news_0001_0007 协助公安部门找到作弊者的藏身之处。
news_0001_0008 宁夏则规定，严禁考生将手机带入考场。
news_0001_0009 一旦在考场内发现考生将手机带入，无论是否开机一律按作弊处理。
news_0002_0010 为防止替考作弊等行为的出现，陕西省对于高考体育类专业课考试用上了高科技，叫眼睛虹膜验证。
news_0002_0011 跟咱们看的这个高科技的美片是一样的哈。
news_0002_0012 那这基本上，就是说长得一模一样的双胞胎你也甭想去以假乱真了。
news_0002_0013 不过，由于是虹膜验证身份，所以说特别提醒参加考试的考生，千万不要佩戴美瞳或者说是隐形眼镜。
news_0002_0014 浙江绍兴市也将用高科技设备来严防作弊。
news_0002_0015 除了考生身份验证识别系统，视频全覆盖无死角实时监控。
news_0002_0016 还将使用无线信号屏蔽仪，金属探测仪等高科技设备，严防考试作弊行为。
news_0002_0017 海南海口市开展了打击销售作弊器材专项行动，净化高考环境。
news_0002_0018 防止作弊，各地呢已经是严阵以待了。
news_0003_0019 奉劝那些想作弊的人哈，还是赶紧悬崖勒马，不然的话后果真的很严重。
news_0003_0020 另外在这还是要提醒一下各位考生哈，还有七类物品是禁止带入考场的。
news_0003_0021 分别是，手机等具有发送或者接收信息功能的设备。
news_0003_0022 比如说，智能穿戴设备等等，电子存储记忆录放等设备。
news_0003_0023 还有涂改液，胶带，修正液，文字材料，以及其它与考试无关的物品。
news_0003_0024 考试这事啊要凭真本事，考的不但是能力，更是公平与诚信。
news_0003_0025 在人生最重要的一次检验当中呢，希望大家能够经得起阳光的透视。
news_0003_0026 用自己的努力和拼搏去打好人生开始的基座。
news_0004_0027 现在呢学生们都在严阵以待的准备高考而家长们也为孩子们确实费了不少的心思。
news_0004_0028 一年一度的抢房大战提前也拉开了序幕。
news_0004_0029 很多高考家长为了方便孩子就近考试，节省路上拥堵的时间。
news_0004_0030 纷纷呢在考点附近提前预订了高考房，这可谓也是用心良苦哈。
news_0004_0031 据统计呢，今年高考期间，考点周边的酒店入住率，环比增长了百分之七十五，房价也是普遍上涨。
news_0004_0032 这其中呢，涨幅最高的是上海和北京等城市，涨幅超过了百分之三百，这是什么概念呢。
news_0004_0033 打个比方哈，如果酒店平时的价格是三百块钱一间，那涨幅百分之三百，就要九百块钱一间。
news_0005_0034 但是即便是高价位，不愁卖。
news_0005_0035 地段好的酒店更是手快有手慢无啊，十分的紧俏。
news_0005_0036 在合肥啊有一家五星级的酒店，更是打出了一千三百八十元一天的价格，而且房量很紧张。
news_0005_0037 有酒店负责人就说了啊，说这有家长四月份就开始预定了，别看我们价格高依旧很多人抢。
news_0005_0038 很多人就表示了啊，说这高考啊是人生的大事，多花点钱可以认了。
news_0005_0039 为了孩子能够有更好的状态参加考试，不浪费他们的复习时间，这花多少钱都是值得。
news_0005_0040 但是啊，有心理专家提醒，是否需要预订高考房，应该根据考生的实际情况来定。
news_0006_0041 如果说本身住的就离考点很近，那么呢就尽量住在家里或者学校的宿舍。
news_0006_0042 以免呢因为环境的变化给考生增加心理的负担，反而会影响考生的正常发挥。
news_0006_0043 确实啊，每年到了高考最忙的一定是家长，给孩子补这补那，定这个高价高考房去接去送等等等等。
news_0006_0044 家长可能觉得，这都是为了孩子好啊。
news_0006_0045 但是无形当中呢也很有可能会增加考生的心理压力，很多事情过犹不及。
news_0006_0046 所以我觉得作为家长呢，更多的时候多跟孩子聊聊天，进行一下这个思想上的沟通。
news_0006_0047 啊往往可能比其他物质上的东西，能带给孩子更多的帮助。
news_0007_0048 说完了高考生呢，接下来咱们来说一下小朋友啊。
news_0007_0049 咱们知道这乘车或者出去玩，大部分地方的儿童免票身高呢是一米二。
news_0007_0050 可是近些年呢，随着人们生活水平的提高。
news_0007_0051 不少孩子刚刚上了小学就超过一米二了，所以尽管还是小孩子却不能够享受免票的优惠。
news_0007_0052 据了解目前我国大部分公共场所儿童免票的标准呢，都是在一米二到一米三之间。
news_0007_0053 半价票的标准呢在一米三到一米五之间。
news_0007_0054 但是由于现在孩子的个头啊普遍偏高。
news_0007_0055 我国儿童的平均身高早已达到甚至说超过了这些标准。
news_0008_0056 今年四月份，中国青年报社会调查中心，对一千九百六十九名儿童家长进行了一项调查。
news_0008_0057 这调查结果显示，有百分之五十六点七的受访家长认为呢，以身高作为儿童票收取的标准这不合理。
